model,capacity_bytes,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_177_normalized,smart_177_raw,smart_180_normalized,smart_180_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_254_normalized,smart_254_raw,failure
18,8001563400000.0,80.0,90105576.0,100.0,0.0,90.0,0.0,100.0,14.0,100.0,0.0,90.0,980796100.0,100.0,0.0,47.0,46747.0,100.0,0.0,100.0,172.0,100.0,14.0,100.0,107.0,100.0,107.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,1755195600000.0,100.0,152.5,100.0,18.0,100.0,0.0,100.0,81.5,100.0,110.0,100.0,0.0,100.0,0.0,100.0,1460313900000.0,100.0,5.0,0.0,10.0,0.0,35.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,1.0,100.0,0.0,68.0,32.0,91.0,18024.0,100.0,8.0,62.0,77038.0,32.0,32.0,80.0,90105576.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,68550660.0,61.0,15894.0,100.0,0.0,100.0,0.0,28.5,728276.0,100.0,592.0,19.0,21135838000000.0,100.0,109951160000000.0,100.0,444529100000.0,100.0,83683.5,100.0,89967390000.0,100.0,175891140000.0,100.0,46700.0,100.0,85677480000.0,100.0,390939670000.0,0.0,0.0,100.0,25977397000.0,100.0,715411840.0,100.0,1007646800.0,100.0,0.0,0
18,8001563400000.0,78.0,57476560.0,100.0,0.0,89.0,0.0,100.0,13.0,100.0,0.0,91.0,1283360800.0,100.0,0.0,47.0,46749.0,100.0,0.0,100.0,172.0,100.0,13.0,100.0,107.0,100.0,107.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,1755195600000.0,100.0,152.5,100.0,18.0,100.0,0.0,100.0,81.5,100.0,110.0,100.0,0.0,100.0,0.0,100.0,1460313900000.0,100.0,5.0,0.0,10.0,0.0,35.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,94.0,12600.0,100.0,12.0,69.0,63645.0,33.0,33.0,78.0,57476560.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,68550660.0,61.0,15894.0,100.0,0.0,100.0,0.0,28.5,728276.0,100.0,592.0,19.0,21135838000000.0,100.0,109951160000000.0,100.0,444529100000.0,100.0,83683.5,100.0,89967390000.0,100.0,175891140000.0,100.0,46701.0,100.0,86444450000.0,100.0,399549460000.0,0.0,0.0,100.0,25977397000.0,100.0,715411840.0,100.0,1007646800.0,100.0,0.0,0
18,8001563400000.0,83.0,216220540.0,100.0,0.0,89.0,0.0,100.0,13.0,100.0,0.0,90.0,1116584400.0,100.0,0.0,47.0,46744.0,100.0,0.0,100.0,172.0,100.0,13.0,100.0,107.0,100.0,107.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,1755195600000.0,100.0,152.5,100.0,18.0,100.0,0.0,100.0,81.5,100.0,110.0,100.0,0.0,100.0,0.0,100.0,1460313900000.0,100.0,5.0,0.0,10.0,0.0,35.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,91.0,19759.0,100.0,6.0,65.0,71813.0,30.0,30.0,83.0,216220540.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,68550660.0,61.0,15894.0,100.0,0.0,100.0,0.0,28.5,728276.0,100.0,592.0,19.0,21135838000000.0,100.0,109951160000000.0,100.0,444529100000.0,100.0,83683.5,100.0,89967390000.0,100.0,175891140000.0,100.0,46696.0,100.0,86409806000.0,100.0,390071400000.0,0.0,0.0,100.0,25977397000.0,100.0,715411840.0,100.0,1007646800.0,100.0,0.0,0
18,8001563400000.0,83.0,189816510.0,100.0,0.0,90.0,0.0,100.0,14.0,100.0,0.0,89.0,831152900.0,100.0,0.0,47.0,46754.0,100.0,0.0,100.0,172.0,100.0,14.0,100.0,107.0,100.0,107.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,1755195600000.0,100.0,152.5,100.0,18.0,100.0,0.0,100.0,81.5,100.0,110.0,100.0,0.0,100.0,0.0,100.0,1460313900000.0,100.0,5.0,0.0,10.0,0.0,35.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,95.0,11997.0,100.0,37.0,67.0,66948.0,23.0,23.0,83.0,189816510.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,68550660.0,61.0,15894.0,100.0,0.0,100.0,0.0,28.5,728276.0,100.0,592.0,19.0,21135838000000.0,100.0,109951160000000.0,100.0,444529100000.0,100.0,83683.5,100.0,89967390000.0,100.0,175891140000.0,100.0,46687.0,100.0,86939345000.0,100.0,363797480000.0,0.0,0.0,100.0,25977397000.0,100.0,715411840.0,100.0,1007646800.0,100.0,0.0,0
8,10000831000000.0,82.0,160836690.0,100.0,0.0,92.0,0.0,100.0,14.0,100.0,8.0,87.0,467547740.0,100.0,0.0,47.0,46942.0,100.0,0.0,100.0,172.0,100.0,14.0,100.0,107.0,100.0,107.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,1755195600000.0,100.0,152.5,100.0,18.0,100.0,0.0,100.0,81.5,100.0,110.0,100.0,0.0,100.0,0.0,100.0,1460313900000.0,100.0,5.0,0.0,10.0,0.0,35.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,79.0,21.0,1.0,338145.0,100.0,339.0,99.0,2788.0,21.0,21.0,82.0,160836690.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,68550660.0,61.0,15894.0,100.0,0.0,100.0,0.0,28.5,728276.0,100.0,592.0,19.0,21135838000000.0,100.0,109951160000000.0,100.0,444529100000.0,100.0,83683.5,100.0,89967390000.0,100.0,175891140000.0,100.0,46721.0,100.0,108192600000.0,100.0,430643770000.0,0.0,0.0,100.0,25977397000.0,100.0,715411840.0,100.0,1007646800.0,100.0,0.0,0
10,12000139000000.0,83.0,193449650.0,100.0,0.0,97.0,0.0,100.0,3.0,100.0,0.0,87.0,553154100.0,100.0,0.0,70.0,26300.0,100.0,0.0,100.0,172.0,100.0,3.0,100.0,107.0,100.0,107.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,1755195600000.0,100.0,152.5,100.0,18.0,100.0,0.0,100.0,81.5,100.0,110.0,100.0,0.0,100.0,0.0,100.0,1460313900000.0,100.0,5.0,0.0,10.0,0.0,35.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,94.0,6.0,69.0,31.0,100.0,358.0,100.0,409.0,100.0,1410.0,31.0,31.0,1.0,193449650.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,68550660.0,61.0,15894.0,100.0,0.0,100.0,0.0,28.5,728276.0,100.0,592.0,19.0,21135838000000.0,100.0,109951160000000.0,100.0,444529100000.0,100.0,83683.5,100.0,89967390000.0,100.0,175891140000.0,100.0,26117.0,100.0,66366824000.0,100.0,304677950000.0,0.0,0.0,100.0,25977397000.0,100.0,715411840.0,100.0,1007646800.0,100.0,0.0,0
21,250059360000.0,100.0,0.0,100.0,0.0,96.0,0.0,100.0,6.0,100.0,0.0,90.0,274508700.0,100.0,0.0,100.0,22677.0,100.0,0.0,100.0,172.0,100.0,6.0,100.0,99.0,100.0,99.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,1755195600000.0,100.0,152.5,100.0,18.0,100.0,0.0,100.0,81.5,100.0,135.0,100.0,0.0,100.0,0.0,100.0,1146776500000.0,100.0,2.0,0.0,10.0,0.0,35.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,94.0,6.0,73.0,27.0,100.0,358.0,100.0,2.0,100.0,1075.0,89.0,39.0,2.0,121254060.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,68550660.0,61.0,15894.0,100.0,0.0,100.0,0.0,28.5,728276.0,100.0,592.0,19.0,21135838000000.0,100.0,109951160000000.0,100.0,459561500000.0,100.0,73451.0,100.0,89967390000.0,100.0,154038750000.0,100.0,17281.0,100.0,37944.0,100.0,25984.0,0.0,0.0,100.0,25977397000.0,100.0,715411840.0,100.0,1007646800.0,100.0,0.0,0
17,8001563400000.0,74.0,28086808.0,100.0,0.0,97.0,0.0,100.0,3.0,100.0,0.0,89.0,739709300.0,100.0,0.0,93.0,6980.0,100.0,0.0,100.0,172.0,100.0,3.0,100.0,107.0,100.0,107.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,1755195600000.0,100.0,152.5,100.0,18.0,100.0,0.0,100.0,81.5,100.0,110.0,100.0,0.0,100.0,0.0,100.0,1460313900000.0,100.0,5.0,0.0,10.0,0.0,35.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,94.0,6.0,74.0,26.0,100.0,358.0,100.0,1.0,100.0,298.0,26.0,26.0,1.0,28086808.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,68550660.0,61.0,15894.0,100.0,0.0,100.0,0.0,28.5,728276.0,100.0,592.0,19.0,21135838000000.0,100.0,109951160000000.0,100.0,444529100000.0,100.0,83683.5,100.0,89967390000.0,100.0,175891140000.0,100.0,6938.0,100.0,23247354000.0,100.0,78742370000.0,0.0,0.0,100.0,25977397000.0,100.0,715411840.0,100.0,1007646800.0,100.0,0.0,0
18,8001563400000.0,80.0,105431950.0,100.0,0.0,89.0,0.0,97.0,3644.0,100.0,0.0,91.0,1196155000.0,100.0,0.0,62.0,33842.0,100.0,0.0,100.0,172.0,100.0,33.0,100.0,107.0,100.0,107.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,1755195600000.0,100.0,152.5,100.0,18.0,100.0,0.0,100.0,81.5,100.0,110.0,100.0,0.0,100.0,0.0,100.0,1460313900000.0,100.0,5.0,0.0,10.0,0.0,35.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,65.0,35.0,69.0,63933.0,100.0,112.0,98.0,4929.0,35.0,35.0,80.0,105431950.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,68550660.0,61.0,15894.0,100.0,0.0,100.0,0.0,28.5,728276.0,100.0,592.0,19.0,21135838000000.0,100.0,109951160000000.0,100.0,444529100000.0,100.0,83683.5,100.0,89967390000.0,100.0,175891140000.0,100.0,32788.0,100.0,84878210000.0,100.0,368034970000.0,0.0,0.0,100.0,25977397000.0,100.0,715411840.0,100.0,1007646800.0,100.0,0.0,0
18,8001563400000.0,83.0,195613400.0,100.0,0.0,89.0,0.0,100.0,15.0,100.0,0.0,96.0,3574613200.0,100.0,0.0,47.0,46749.0,100.0,0.0,100.0,172.0,100.0,15.0,100.0,107.0,100.0,107.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,1755195600000.0,100.0,152.5,100.0,18.0,100.0,0.0,100.0,81.5,100.0,110.0,100.0,0.0,100.0,0.0,100.0,1460313900000.0,100.0,5.0,0.0,10.0,0.0,35.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,87.0,26262.0,100.0,19.0,68.0,65125.0,31.0,31.0,83.0,195613400.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,68550660.0,61.0,15894.0,100.0,0.0,100.0,0.0,28.5,728276.0,100.0,592.0,19.0,21135838000000.0,100.0,109951160000000.0,100.0,444529100000.0,100.0,83683.5,100.0,89967390000.0,100.0,175891140000.0,100.0,46709.0,100.0,85675440000.0,100.0,370924450000.0,0.0,0.0,100.0,25977397000.0,100.0,715411840.0,100.0,1007646800.0,100.0,0.0,0
